Name,Precision,Recall,F1,Accuracy
Naive Bayes + TFIDF,0.5164835164835165,0.6351351351351351,0.5696969696969697,0.5266666666666666
Naive Bayes + w2v,0.6707317073170732,0.7432432432432432,0.7051282051282052,0.6933333333333334
Logistic Regression + TFIDF,0.7380952380952381,0.8378378378378378,0.7848101265822784,0.7733333333333333
Logistic Regression + w2v,0.7011494252873564,0.8243243243243243,0.7577639751552795,0.74
SVM + TFIDF,0.7777777777777778,0.8513513513513513,0.8129032258064516,0.8066666666666666
SVM + w2v,0.7530864197530864,0.8243243243243243,0.7870967741935484,0.78
Multilayer Perceptron + TFIDF,0.7619047619047619,0.8648648648648649,0.810126582278481,0.8
Multilayer Perceptron + w2v,0.7662337662337663,0.7972972972972973,0.7814569536423841,0.78
